date,Day of Year,id,nlikes,nretweets,compound,neg,neu,pos
2019-01-01,1.0,1.0801609825022019e+18,1.8474862695395016,0.5627376425855514,0.23233392479932402,0.019933248838191805,0.8827346852555978,0.09733375580904098
2019-01-02,2.0,1.0805095113294557e+18,2.2302158273381294,0.6364658273381295,0.20848329586330935,0.019360161870503597,0.8877758543165468,0.0928630845323741
2019-01-03,3.0,1.0808691858733486e+18,2.571356403132104,0.7451376610255115,0.18354488507198788,0.029991917150795654,0.880373074008588,0.08962995705986361
2019-01-04,4.0,1.0812491523977105e+18,2.736013164080865,0.8389750822755054,0.1747215796897038,0.028208274565115186,0.887984485190409,0.08379854254818994
2019-01-05,5.0,1.0816021641331547e+18,1.8715447154471545,0.5560975609756098,0.1795149051490515,0.024967750677506777,0.893069376693767,0.08196233062330623
2019-01-06,6.0,1.0819718403390139e+18,2.1643962848297216,0.6591331269349845,0.1934056656346749,0.022821671826625388,0.8931665634674922,0.08401114551083591
2019-01-07,7.0,1.0823436640108538e+18,3.090014064697609,1.1669680530440023,0.10439849306811333,0.05577998794454491,0.8633295157725538,0.08089391199517781
2019-01-08,8.0,1.0826777139633187e+18,2.4014454664914586,0.7808804204993429,-0.005482670827858082,0.09199589356110381,0.8329236202365309,0.07509116294349541
2019-01-09,9.0,1.0830479814848229e+18,2.2188791915480017,0.8075333027101516,0.11357868626550298,0.05420670647680294,0.8601348185576482,0.08566743224621037
2019-01-10,10.0,1.083406283316543e+18,2.596108766994843,0.7688701359587435,0.11745396155649321,0.048206516643225505,0.8724006094702297,0.07940131270511017
2019-01-11,11.0,1.0837752642973948e+18,2.5706845238095237,0.826140873015873,0.1284814484126984,0.040417410714285715,0.8812085813492063,0.07837400793650794
2019-01-12,12.0,1.0841425361401678e+18,1.7733701276302174,0.6998965160400138,0.13760407036909278,0.037726802345636426,0.8821724732666437,0.0800983097619869
2019-01-13,13.0,1.0845024702177185e+18,2.8362305580969807,0.8405001524855139,0.08481253430924063,0.04267307105824947,0.8912839280268374,0.06604147605977433
2019-01-14,14.0,1.0848642881211173e+18,2.412631998406057,0.6967523411038056,0.04710870691372784,0.0585676429567643,0.8740221159593544,0.06740247061167563
2019-01-15,15.0,1.0852372290432305e+18,3.0173752310536046,1.2430683918669132,0.07171853974121996,0.06522754158964879,0.8554950092421442,0.07928207024029575
2019-01-16,16.0,1.0855767212208882e+18,3.0976477564736116,1.0772880015813402,0.08912905712591422,0.0626082229689662,0.8583142913619293,0.07907788100415102
2019-01-17,17.0,1.0859509514310729e+18,1.992451967063129,0.7637236962488564,0.11244688929551692,0.03604780420860018,0.8993069533394328,0.06464295516925893
2019-01-18,18.0,1.0863082766684456e+18,1.744408201304753,0.5852749301025163,0.09703744175209691,0.04089142590866729,0.8973159366262815,0.06179007455731593
