Date,Open,High,Low,Close,Volume,Personal Saving %,Close/Last
2017-11-09,308.644989,329.451996,307.056,320.884003,893249984,7.0,2584.62
2017-11-10,320.67099,324.717987,294.541992,299.252991,885985984,7.0,2582.3
2017-11-13,307.024994,328.415009,307.024994,316.716003,1041889984,7.0,2584.84
2017-11-14,316.763,340.177002,316.763,337.631012,1069680000,7.0,2578.87
2017-11-15,337.963989,340.911987,329.812988,333.356995,722665984,7.0,2564.62
2017-11-16,333.442993,336.158997,323.605988,330.924011,797254016,7.0,2585.64
2017-11-17,330.166992,334.963989,327.52301,332.394012,621732992,7.0,2578.85
2017-11-20,354.093994,372.136993,353.289001,366.730011,807027008,7.0,2582.14
2017-11-21,367.442993,372.470001,350.692993,360.401001,949912000,7.0,2599.03
2017-11-22,360.312012,381.420013,360.147003,380.652008,800819008,7.0,2597.08
2017-11-24,412.501007,480.972992,402.757996,474.911011,2292829952,7.0,2602.42
2017-11-27,471.531006,493.404999,468.484985,480.355011,1396480000,7.0,2601.42
2017-11-28,480.518005,482.480011,466.346985,472.902008,1346499968,7.0,2627.04
2017-11-29,473.281006,522.307007,425.071014,427.52301,2675940096,7.0,2626.07
2017-11-30,431.214996,465.497009,401.243011,447.114014,1903040000,7.0,2647.58
2017-12-01,445.209015,472.609009,428.312012,466.540009,1247879936,6.6,2642.22
2017-12-04,466.053986,474.777008,453.312012,470.20401,1005550016,6.6,2639.44
2017-12-05,470.294006,473.558014,457.660004,463.281006,1216720000,6.6,2629.57
2017-12-06,462.604004,462.708008,420.209991,428.588013,1998259968,6.6,2629.27
2017-12-07,426.368988,441.397003,414.411011,434.40799,2129570048,6.6,2636.98
2017-12-08,434.989014,466.062012,422.367004,456.031006,2336379904,6.6,2651.5
2017-12-11,440.358002,516.968994,439.104004,515.135986,1771440000,6.6,2659.99
2017-12-12,522.286011,657.317993,504.493988,651.43103,5179829760,6.6,2664.11
2017-12-13,644.906006,747.992981,597.797974,702.767029,4524539904,6.6,2662.85
2017-12-14,700.593994,753.120972,664.989014,695.815979,3821580032,6.6,2652.01
2017-12-15,696.375977,697.132019,621.060974,684.447998,2758710016,6.6,2675.81
2017-12-18,721.731995,803.927979,689.231018,794.64502,3249230080,6.6,2690.16
2017-12-19,793.901001,881.94397,785.34198,826.822998,4096549888,6.6,2681.47
2017-12-20,827.515991,845.062012,756.004028,819.085999,3969939968,6.6,2679.25
2017-12-21,820.236023,880.54303,792.689026,821.062988,3569060096,6.6,2684.57
