date,open,close,low,high,avgGas
2022-07-04,27.36,13.83,8.0,69.35,90313.44841700002
2022-07-03,20.19,14.88,5.1,65.78,98196.35056300004
2022-07-02,7.69,41.12,6.0,83.45,91501.28345099997
2022-07-01,32.75,21.54,10.36,145.7,94811.137054
2022-06-30,85.0,59.51,22.04,355.0,89419.18338200002
2022-06-29,117.02,42.32,16.57,300.0,87838.25477599999
2022-06-28,34.79,51.87,17.69,153.96,92735.70635000002
2022-06-27,54.4,39.78,12.0,185.18,86904.48627500002
2022-06-26,30.16,22.29,15.02,189.72,94333.45458800001
2022-06-25,23.71,23.02,13.55,126.78,93749.452899
2022-06-24,26.21,43.92,15.0,250.0,88030.90256599998
2022-06-23,52.38,25.44,13.06,317.0,101388.792587
2022-06-22,36.33,30.59,12.83,86.94,87984.17019600002
2022-06-21,48.77,14.98,10.0,119.92,99357.53169200002
2022-06-20,14.24,16.52,10.0,75.57,100967.980049
2022-06-19,13.59,15.86,10.72,72.65,90509.17260300001
2022-06-18,23.11,25.13,13.78,284.39,88874.160139
2022-06-17,35.18,40.0,16.77,162.82,95667.92231900005
2022-06-16,31.5,43.39,16.5,107.93,92633.06113699998
2022-06-15,41.56,23.84,18.96,193.41,83434.13831400001
2022-06-14,30.23,23.72,22.08,317.3,84533.71568200001
2022-06-13,44.97,28.71,25.44,292.75,83167.24727299999
2022-06-12,32.33,47.15,14.49,114.36,93725.57297099999
2022-06-11,76.94,35.26,15.0,153.23,106615.81297400001
2022-06-10,40.69,77.1,28.82,145.68,84567.357752
2022-06-09,68.68,79.97,21.95,249.57,99639.89221700006
2022-06-08,58.08,78.05,31.05,199.77,91399.02062599998
2022-06-07,96.61,76.17,18.28,667.0,96878.54530399998
2022-06-06,89.65,371.05,20.0,390.29,87215.780028
2022-06-05,46.31,50.17,17.23,148.69,95038.08171600002
2022-06-04,52.24,42.3,19.41,454.05,92464.43018799998
2022-06-03,32.37,92.56,28.33,331.34,91399.050086
2022-06-02,63.42,61.21,24.55,184.77,91633.13416099997
2022-06-01,76.54,41.9,22.8,168.47,88166.33741900003
2022-05-31,44.56,30.17,14.0,600.0,86572.90647499995
2022-05-30,27.05,39.27,12.0,84.38,132869.52107400002
2022-05-29,32.26,14.88,8.3,85.0,169619.336519
2022-05-28,15.82,40.1,9.0,55.5,104843.09898999998
2022-05-27,47.0,44.7,14.0,100.96,92607.40546299997
2022-05-26,40.38,41.6,16.58,93.84,88533.46903200004
2022-05-25,42.61,15.0,10.08,158.72,95424.41233700003
2022-05-24,24.44,27.14,10.69,105.1,88995.80786300002
2022-05-23,28.71,23.3,10.0,68.7,99954.11764399998
2022-05-22,26.14,28.13,9.0,72.74,94552.47029600004
2022-05-21,38.25,58.4,10.0,81.2,92787.73705400003
2022-05-20,33.61,23.57,11.44,75.38,89588.24855700001
2022-05-19,15.79,39.58,12.35,56.52,92552.44988099996
2022-05-18,25.22,18.27,10.0,96.93,86011.21792899999
2022-05-17,20.87,14.84,14.12,337.93,88605.94314300001
2022-05-16,37.85,22.35,10.86,62.18,90182.560572
2022-05-15,18.35,25.42,11.12,59.44,93415.12602699999
2022-05-14,22.89,30.35,17.12,67.97,88145.39156999999
2022-05-13,43.58,115.65,30.0,162.38,77362.229237
2022-05-12,61.99,128.32,55.0,921.64,76696.812318
2022-05-11,149.39,32.5,21.0,753.85,83583.869107
2022-05-10,32.38,205.84,21.06,239.6,82769.31390200001
2022-05-09,128.45,23.32,13.29,265.14,85640.737849
2022-05-08,21.05,20.41,11.76,60.67,93836.533956
2022-05-07,17.08,31.23,16.79,85.55,98422.68328200001
2022-05-06,24.33,31.36,21.58,132.91,120805.895807
2022-05-05,38.65,39.08,22.62,182.85,87954.16621599998
2022-05-04,41.14,57.1,26.95,105.94,93074.48261100003
2022-05-03,48.51,55.36,30.36,257.1,93502.45050099996
2022-05-02,88.34,59.69,26.58,149.41,89929.44824000003
2022-05-01,40.68,144.28,32.24,7883.6,93659.30020600003
2022-04-30,115.61,32.48,20.84,145.05,84919.05851000002
2022-04-29,36.2,41.92,24.61,127.56,90486.904136
2022-04-28,33.66,41.19,24.91,135.85,85951.31606500002
2022-04-27,50.48,52.93,22.35,734.93,90216.948903
2022-04-26,51.63,48.74,20.0,114.56,92222.48085700002
2022-04-25,62.4,23.76,20.0,154.41,88895.28279999999
2022-04-24,45.18,22.92,15.07,82.38,96728.54111600004
