date,open,close,low,high,avgGas
2019-10-21,1.0,2.0,0.5,25.0,68885.95552299997
2019-10-20,10.1,14.0,0.7000000000000001,22.0,82526.38648199997
2019-10-19,15.0,4.0,0.0,30.0,123152.18884200002
2019-10-18,10.0,20.0,0.12,30.0,68373.14702699997
2019-10-17,12.0,1.32,0.22,30.0,88220.70201399998
2019-10-16,1.0,1.0,0.22,27.0,78933.21308499998
2019-10-15,20.0,26.0,0.22,26.0,103993.11511599999
2019-10-14,10.0,10.0,0.30000000000000004,21.0,121803.552374
2019-10-13,0.5,2.4,0.2,27.0,88307.73634999999
2019-10-12,0.23,1.0,0.23,21.0,74472.35622200002
2019-10-11,10.0,2.41,0.25,20.0,94014.56859900002
2019-10-10,0.24,10.0,0.11,35.0,95178.23467199999
2019-10-09,1.0,1.0,0.26,30.0,103369.58706200002
2019-10-08,1.1,10.0,0.26,22.0,73919.79849300002
2019-10-07,11.0,1.0,0.28,22.0,147636.30918499996
2019-10-06,12.42,20.0,0.5,20.0,118929.67381299997
2019-10-05,3.0,14.0,0.27,27.0,92786.44245199999
2019-10-04,12.0,10.0,0.30000000000000004,27.0,96600.54210499999
2019-10-03,12.0,5.0,0.7000000000000001,25.0,126928.43968200003
2019-10-02,12.0,1.1,0.5,25.0,124179.1351600001
2019-10-01,14.0,2.0,0.52,20.0,113594.73419000002
2019-09-30,12.0,26.0,1.0,27.0,110591.36644500002
2019-09-29,26.0,22.0,1.0,30.0,170523.381765
2019-09-28,21.0,1.0,1.0,30.0,158465.15560999996
2019-09-27,15.3,21.1,1.0,30.0,179507.81412100003
2019-09-26,17.4,1.0,1.0,40.0,174815.77077999993
2019-09-25,30.0,26.0,1.0,40.0,133815.665672
2019-09-24,21.0,20.0,1.0,40.0,168484.91482800004
2019-09-23,19.0,9.0,1.3,30.0,162214.7722249999
2019-09-22,15.6,7.65,1.0,30.0,206443.31048899997
2019-09-21,1.21,10.6,1.0,30.0,170608.99030899993
2019-09-20,24.0,20.3,1.0,30.0,141015.26211599997
2019-09-19,32.0,20.0,1.0,34.38,123579.78686200002
2019-09-18,30.0,20.0,5.0,37.0,114799.79067999996
2019-09-17,25.0,22.0,1.0,33.33,98112.03534699998
2019-09-16,10.5,12.22,1.0,30.0,130194.63882800004
2019-09-15,20.0,20.0,1.0,30.0,110070.23830599997
2019-09-14,16.1,10.0,1.0,50.0,155459.74874800004
2019-09-13,15.0,10.0,1.0,30.0,126146.10718499997
2019-09-12,12.0,11.0,1.0,32.0,131344.59107099997
2019-09-11,13.4,9.0,1.0,40.0,106177.21865199997
2019-09-10,15.0,10.0,1.0,30.0,117131.50229699996
2019-09-09,11.6,15.0,5.51,28.6,105909.31675999999
2019-09-08,13.92,5.5,1.0,28.6,94149.43697899995
2019-09-07,10.0,1.0,1.0,27.04,105068.165741
2019-09-06,10.0,7.0,3.3,24.2,95198.58484399998
2019-09-05,7.7,10.43,1.0,27.0,91710.425013
2019-09-04,8.0,7.0,1.0,22.14,108323.10145999999
2019-09-03,8.4,10.1,1.11,20.0,109417.121885
2019-09-02,9.0,1.0,1.0,30.0,97597.78972399997
2019-09-01,8.4,10.0,1.0,27.62,119296.62779000003
2019-08-31,4.0,1.0,0.6000000000000001,20.0,106950.68971900003
2019-08-30,12.0,6.0,1.0,50.0,114300.619551
2019-08-29,3.6,2.0,1.0,30.0,113580.24644000002
2019-08-28,1.0,11.0,1.0,22.0,92346.52628200004
2019-08-27,11.0,3.0,1.0,22.0,105809.61659300001
2019-08-26,4.4,13.0,1.0,22.0,84508.22921099997
2019-08-25,7.0,9.0,1.0,24.73,135446.86401099994
2019-08-24,1.1,10.0,0.41000000000000003,22.0,108789.73559699992
2019-08-23,10.0,1.43,1.0,27.62,86103.02401500002
2019-08-22,3.0,21.0,1.0,22.0,110966.71087899998
2019-08-21,8.34,2.1,1.0,30.0,80578.67817099998
2019-08-20,20.0,1.2,1.0,30.0,95032.36345399996
2019-08-19,4.0,8.99,1.0,30.0,86016.69289800004
2019-08-18,7.0,1.1,0.26,22.0,94378.04289199995
2019-08-17,6.6,6.0,0.15,20.0,92948.38625900002
2019-08-16,1.1,7.0,0.26,25.0,79170.54336200001
2019-08-15,1.0,12.76,0.28,22.0,96966.42449799998
2019-08-14,16.0,0.9,0.9,22.0,105455.80542399999
2019-08-13,1.0,6.0,0.28,22.0,80291.12364399996
2019-08-12,1.0,1.0,0.30000000000000004,25.0,259754.01810600006
2019-08-11,10.0,1.0,0.33,30.0,101646.19678799999
2019-08-10,1.1,1.0,0.27,25.0,88504.22104300001
2019-08-09,5.0,3.3,0.30000000000000004,32.0,80134.00098899996
2019-08-08,1.1,0.4,0.33,20.0,118305.02078299997
2019-08-07,2.0,1.0,0.4,30.0,85183.11333600004
2019-08-06,9.0,1.0,1.0,30.0,128028.12012000005
2019-08-05,3.0,1.0,0.30000000000000004,30.0,86349.37885199998
2019-08-04,3.81,3.0,0.30000000000000004,20.0,88976.82094899999
2019-08-03,1.0,20.0,0.30000000000000004,35.0,78913.47215799999
2019-08-02,20.0,10.0,1.0,30.0,75093.71943899998
2019-08-01,0.7000000000000001,10.0,0.35000000000000003,32.0,76655.28436399998
2019-07-31,0.4,6.0,0.4,27.0,119412.47694200002
2019-07-30,7.0,1.0,0.27,15.0,70914.34626499999
2019-07-29,1.0,6.0,0.27,30.0,76613.42105199999
2019-07-28,3.0,10.0,0.9,20.0,100752.66770800002
2019-07-27,1.0,4.1,0.27,45.0,92418.615896
2019-07-26,1.1,3.0,0.56,20.0,88994.92962700002
2019-07-25,7.1,9.0,1.0,30.0,59120.45545
2019-07-24,2.0,1.56,0.61,30.0,77746.15411799996
2019-07-23,1.1,10.0,0.5,30.0,74593.23908299993
2019-07-22,1.0,3.3,0.30000000000000004,20.0,87008.19926700002
2019-07-21,2.0,10.0,0.27,41.0,114680.19213599993
2019-07-20,1.0,1.0,0.27,30.0,108758.13985500004
2019-07-19,3.3,9.0,0.34,30.0,71317.71788000001
2019-07-18,1.0,1.77,0.30000000000000004,29.59,95483.34714800002
2019-07-17,1.2,20.0,0.30000000000000004,30.0,115292.778591
2019-07-16,20.0,20.0,10.0,41.0,49053.67090799999
2019-07-15,20.0,3.0,0.1,30.0,89206.703529
2019-07-14,5.0,6.0,0.28,30.0,72080.78665099997
2019-07-13,0.30000000000000004,1.0,0.1,20.0,73233.966328
2019-07-12,1.65,10.0,0.30000000000000004,20.0,70953.55802100003
2019-07-11,1.1,13.2,0.5,35.0,56088.77989799999
2019-07-10,6.6,6.5,0.1,20.0,78182.61760900002
2019-07-09,1.0,11.5,0.30000000000000004,30.0,79204.201151
2019-07-08,10.0,10.0,0.30000000000000004,40.0,105541.88304000004
2019-07-07,10.0,0.41000000000000003,0.30000000000000004,30.0,112481.70592599997
2019-07-06,5.5,1.0,0.5,20.0,85191.41175300002
2019-07-05,2.0,1.0,0.5,21.0,66515.72135600001
2019-07-04,5.0,5.0,0.5,20.0,84084.026068
2019-07-03,2.0,4.21,1.0,20.0,99541.51981800003
2019-07-02,10.0,1.65,1.0,30.0,185218.62593999994
2019-07-01,1.47,20.0,1.0,30.0,61313.738954
2019-06-30,20.0,1.0,1.0,30.0,90634.04015200007
2019-06-29,12.7,10.0,1.0,30.0,73755.96218100005
2019-06-28,4.7,20.0,1.0,30.0,58604.345716
2019-06-27,10.0,9.9,1.0,47.62,84666.28118299998
2019-06-26,1.94,14.0,1.0,40.0,69398.095373
2019-06-25,15.4,5.0,0.2,41.0,68710.98518100003
2019-06-24,1.2,9.1,0.65,22.9,70591.064401
2019-06-23,11.1,7.86,0.2,30.0,75754.81887100002
2019-06-22,5.0,4.0,0.35000000000000003,20.0,65782.91571499997
2019-06-21,2.0,1.0,0.67,27.0,88764.05246200002
2019-06-20,9.9,20.0,0.58,30.0,62143.431067000005
2019-06-19,20.0,10.0,1.0,20.0,66825.89416900004
2019-06-18,1.5,7.0,0.8,29.7,83046.97755499996
2019-06-17,6.0,1.2,1.0,27.78,90147.45056799999
2019-06-16,4.4,10.0,0.6000000000000001,40.0,102767.68634299998
2019-06-15,7.0,1.0,1.0,30.0,64868.613339999996
2019-06-14,1.0,9.76,1.0,30.0,74493.41935899999
2019-06-13,10.0,1.1,0.7000000000000001,20.0,72335.46013699996
2019-06-12,4.09,6.3,0.21,20.0,81202.392281
2019-06-11,9.0,9.0,1.0,30.0,70613.61625399998
2019-06-10,12.0,4.0,0.32,23.0,52955.21415500003
2019-06-09,6.9,1.01,1.0,20.0,88974.47300600006
2019-06-08,1.0,2.0,0.41000000000000003,20.0,68826.178454
2019-06-07,2.0,10.0,0.5,20.0,75154.057827
2019-06-06,4.5,6.0,1.0,20.0,68167.120607
2019-06-05,5.0,2.0,0.21,50.0,107007.78822499997
2019-06-04,1.0,10.0,1.0,20.0,71841.019396
2019-06-03,5.0,7.0,1.0,20.58,67110.20408000001
2019-06-02,6.6,4.1,0.5,20.0,58739.62299700004
2019-06-01,2.0,7.7,1.0,20.0,66939.64764500002
2019-05-31,5.0,17.6,1.0,51.0,107164.65697499998
2019-05-30,4.5,20.0,1.0,40.0,96259.35507900002
2019-05-29,10.0,10.0,0.21,20.0,60669.939372000015
2019-05-28,6.0,10.0,1.0,20.0,75097.13751600002
2019-05-27,12.5,10.0,0.21,25.0,65289.30990399998
2019-05-26,3.0,1.0,0.21,30.0,75008.422846
2019-05-25,5.0,4.0,0.2,29.59,65806.01619599998
2019-05-24,2.0,1.0,0.51,29.8,63126.300658
2019-05-23,3.0,10.0,0.8,20.0,83271.75891899999
2019-05-22,10.0,20.0,1.0,40.0,74561.25926699997
2019-05-21,7.0,10.0,0.7000000000000001,30.0,71245.51262600003
2019-05-20,13.2,12.2,1.0,30.0,69763.53136700002
2019-05-19,13.0,1.5,0.5,20.0,103017.40078100002
2019-05-18,5.85,4.0,1.0,30.0,155182.13861800003
2019-05-17,10.0,7.5,1.0,41.0,77324.41742700001
